id,name,description
affordable-cost-of-living,Affordable cost of living,Everyday expenses remain low relative to income or savings
strong-healthcare-access,Strong healthcare access,Good quality healthcare widely available and accessible
high-personal-safety,High personal safety,Low crime levels and strong public security
stable-political-environment,Stable political environment,Predictable governance with low disruption risk
easy-visa-access,Easy residency / visa access,"Simple, retiree-friendly residency or visa pathways"
tax-friendly,Tax-friendly environment,Lower taxes or favorable treatment for retirees
modern-infrastructure,Modern infrastructure,"Reliable transport, utilities, and digital connectivity"
comfortable-climate,Comfortable climate,"Mild, pleasant weather suitable year-round"
strong-expat-community,Strong expat / retiree community,"Large, established international retiree population"
english-friendly,English-friendly environment,English commonly used in daily life and services
resort-lifestyle,Resort lifestyle,"Access to high-end amenities, leisure facilities, and services similar to a vacation setting"
rich-culture,Rich culture,"Abundance of historical sites, local traditions, arts, and deep-rooted heritage to explore"
comfortable-lifestyle,Comfortable lifestyle,"A high standard of living that allows for various hobbies, travel, and social activities"
low-crowds,Low crowds,Quiet environments with fewer tourists and less congestion in public spaces and attractions
lifestyle-variety,Lifestyle variety,A wide range of living options and recreational activities to suit different personal interests
improving-healthcare,Improving healthcare,Rapidly modernizing medical services and facilities with increasing investment and standards